V_j,U_w,Re_j,Re_w,UV_Ratio,VU_Ratio,Lh,Lh_d
30,150,536.25,2681.25,5,0.2,0.0128,19.69230769
30,120,536.25,2145,4,0.25,0.0184,28.30769231
15,80,268.125,1430,5.333333333,0.1875,0.0058,8.923076923
5,50,89.375,893.75,10,0.1,0.00095,1.461538462
5,24,89.375,429,4.8,0.208333333,0.0023,3.538461538
3,12,53.625,214.5,4,0.25,0.00186,2.861538462
2.5,10,44.6875,178.75,4,0.25,0.00157,2.415384615
20,80,357.5,1430,4,0.25,0.01214,18.67692308
5,20,89.375,357.5,4,0.25,0.003,4.615384615
10,40,178.75,715,4,0.25,0.00562,8.646153846
15,60,268.125,1072.5,4,0.25,0.0089,13.69230769
17,68,303.875,1215.5,4,0.25,0.01028,15.81538462
17,59.5,303.875,1063.5625,3.5,0.285714286,0.01263,19.43076923
10,40,178.75,715,4,0.25,0.00562,8.646153846
10,35,178.75,625.625,3.5,0.285714286,0.0074,11.38461538
10,30,178.75,536.25,3,0.333333333,0.00951,14.63076923
10,25,178.75,446.875,2.5,0.4,0.013,20
10,20,178.75,357.5,2,0.5,0.0199,30.61538462
20,60,357.5,1072.5,3,0.333333333,0.017,26.15384615
20,100,357.5,1787.5,5,0.2,0.0086,13.23076923
25,100,446.875,1787.5,4,0.25,0.0144,22.15384615
25,75,446.875,1340.625,3,0.333333333,0.024,36.92307692
