V_j,U_w,Status,sigma
40,100,Unsteady left flux,0.072
10,60,Steady (Deposition),0.072
10,80,Steady (Deposition),0.072
10,100,Splash,0.072
10,120,Splash,0.072
40,60,Unsteady left flux,0.072
20,40,Steady (Bumps),0.072
20,30,Unsteady left flux,0.072
10,15,Unsteady left flux,0.072
5,17.5,Steady (Deposition),0.072
5,15,Steady (Deposition),0.072
5,12.5,Steady (Bumps),0.072
5,10,Steady (Bumps),0.072
10,2,Steady left flux,0.072
5,1.75,Steady left flux,0.072
10,3.5,Steady left flux,0.072
20,8,Unsteady left flux,0.072
5,2,Unsteady left flux,0.072
40,13,Unsteady left flux,0.072
40,20,Unsteady left flux,0.072
5,2.5,Unsteady left flux,0.072
5,1.6,Steady left flux,0.072
20,10,Unsteady left flux,0.072
20,7,Steady left flux,0.072
20,6,Steady left flux,0.072
10,4,Unsteady left flux,0.072
10,3,Steady left flux,0.072
15,5,Steady left flux,0.072
10,5,Unsteady left flux,0.072
40,40,Unsteady left flux,0.072
5,5,Unsteady left flux,0.072
5,7.5,Unsteady left flux,0.072
10,10,Unsteady left flux,0.072
20,20,Unsteady left flux,0.072
5,75,Splash,0.072
5,100,Splash,0.072
15,110,Splash,0.072
30,180,Splash,0.072
30,210,Splash,0.072
60,240,Splash,0.072
40,160,Splash,0.072
60,180,Splash,0.072
30,150,Steady (Deposition),0.072
30,120,Steady (Deposition),0.072
15,80,Steady (Deposition),0.072
5,50,Steady (Deposition),0.072
5,24,Steady (Deposition),0.072
3,12,Steady (Deposition),0.072
2.5,10,Steady (Deposition),0.072
20,80,Steady (Deposition),0.072
5,20,Steady (Deposition),0.072
10,40,Steady (Deposition),0.072
15,60,Steady (Deposition),0.072
17,68,Steady (Deposition),0.072
17,59.5,Steady (Deposition),0.072
10,40,Steady (Deposition),0.072
10,35,Steady (Deposition),0.072
10,30,Steady (Bumps),0.072
10,25,Steady (Bumps),0.072
10,20,Steady (Bumps),0.072
20,60,Steady (Bumps),0.072
20,100,Steady (Deposition),0.072
25,100,Steady (Deposition),0.072
25,75,Steady (Bumps),0.072
