Case,NBP,Vfr,V_j,U_w,U_w/V_j,Re_j,Re_w,Re_j/sqrt(Re_w),1/sqrt(Re_w),Lh/d,Lw/d,H/d,Lw/Lh
GW65N25,30.02,3.700943734,14.7770256,18.85,1.275598787,702.1,895.6,23.46069,0.033,2.387,7.779,0.07925,3.259
GW65N25,29.96,3.69639275,14.75885455,21.99,1.490030849,701.2,1044.9,21.69367,0.031,2.228,6.91,0.07637,3.102
GW65N25,29.84,3.687284386,14.72248693,25.13,1.707098899,699.5,1194.1,20.24256,0.029,2.108,6.662,0.06914,3.161
GW65N25,29.63,3.671324232,14.65876167,28.27,1.92883509,696.5,1343.4,19.00226,0.027,1.9,6.183,0.06594,3.254
GW65N25,29.56,3.665998378,14.63749675,31.42,2.146263605,695.5,1492.7,18.00098,0.026,1.791,5.516,0.06642,3.08
GW65N25,29.68,3.675126637,14.67394381,34.56,2.355026,697.2,1641.9,17.206,0.025,1.745,5.844,0.05714,3.349
GW65N25,29.56,3.665998378,14.63749675,37.7,2.575516326,695.5,1791.2,16.43257,0.024,1.527,4.914,0.06213,3.219
GW65N25,29.3,3.64619123,14.55841132,40.84,2.805299535,691.7,1940.4,15.7026,0.023,1.539,4.742,0.05912,3.081
GW65N25,29.73,3.678927562,14.68912004,43.98,2.994209118,697.9,2089.7,15.26726,0.022,1.467,4.802,0.05469,3.273
GW65N25,29.58,3.667520346,14.64357362,47.12,3.218059404,695.8,2239,14.70384,0.021,1.475,4.684,0.05217,3.176
GW65N25,29.5,3.66143105,14.61926045,50.27,3.438305421,694.6,2388.2,14.21329,0.02,1.408,4.319,0.05295,3.068
GW65N25,29.96,3.69639275,14.75885455,53.41,3.618646346,701.2,2537.5,13.92059,0.02,1.389,4.125,0.05268,2.97
GW65N25,29.86,3.688803039,14.72855057,56.55,3.839391222,699.8,2686.8,13.5006,0.019,1.461,4.631,0.04423,3.169
GW65N25,29.91,3.692598634,14.74370552,59.69,4.048525003,700.5,2836,13.15404,0.019,1.398,4.306,0.04511,3.08
GW65N25,30,3.699426976,14.77096953,62.83,4.253739265,701.8,2985.3,12.84468,0.018,1.421,4.286,0.04314,3.015
GW65N25,40.6,4.470104547,17.84810958,18.85,1.056109379,848,895.6,28.33648,0.033,2.815,9.329,0.07982,3.314
GW65N25,40.53,4.465233403,17.82866021,21.99,1.233471742,847.1,1044.9,26.2059,0.031,2.594,8.699,0.07329,3.353
GW65N25,40.43,4.458269593,17.8008553,21.99,1.235398423,845.8,1044.9,26.16503,0.031,2.6,8.781,0.07249,3.377
GW65N25,40.83,4.486089306,17.91193309,25.13,1.403128356,851,1194.1,24.62787,0.029,2.395,8.452,0.06631,3.529
GW65N25,40.35,4.452694281,17.77859435,28.27,1.590358232,844.7,1343.4,23.04653,0.027,2.229,7.644,0.06469,3.429
GW65N25,40.2,4.442230356,17.73681429,31.42,1.771227123,842.7,1492.7,21.81247,0.026,2.146,7.341,0.06048,3.42
GW65N25,40.4,4.456179295,17.79250922,34.56,1.94225102,845.4,1641.9,20.86268,0.025,2.067,6.886,0.05879,3.332
GW65N25,40.12,4.436644149,17.71450983,37.7,2.128148744,841.7,1791.2,19.88693,0.024,2.003,6.705,0.05511,3.348
GW65N25,39.99,4.427558479,17.67823282,40.84,2.310225514,839.9,1940.4,19.06762,0.023,1.928,6.398,0.0532,3.319
GW65N25,39.99,4.427558479,17.67823282,43.98,2.487935169,839.9,2089.7,18.37402,0.022,1.865,6.208,0.05091,3.329
GW65N25,39.2,4.372130375,17.45692102,47.12,2.699438792,829.4,2239,17.52877,0.021,1.754,5.951,0.04895,3.393
GW65N25,39.53,4.395328831,17.54954717,50.27,2.864203957,833.8,2388.2,17.06221,0.02,1.76,5.802,0.04732,3.297
GW65N25,39.92,4.42266205,17.65868249,53.41,3.024408821,839,2537.5,16.65571,0.02,1.686,5.505,0.04723,3.265
GW65N25,39.35,4.382683122,17.49905574,56.55,3.23152681,831.4,2686.8,16.04012,0.019,1.673,5.28,0.04609,3.155
GW65N25,39.64,4.40304732,17.58036534,59.69,3.395279862,835.3,2836,15.68485,0.019,1.615,5.241,0.04419,3.245
GW65N25,39.35,4.382683122,17.49905574,62.83,3.590585344,831.4,2985.3,15.217,0.018,1.564,4.983,0.04395,3.185
GW65N25,49.41,5.060010141,20.20346829,15.71,0.777488451,959.9,746.3,35.13745,0.037,3.461,10.645,0.09502,3.075
GW65N25,49.54,5.068370667,20.23684997,18.85,0.931447135,961.5,895.6,32.12896,0.033,3.232,10.319,0.08181,3.193
GW65N25,49.43,5.061297027,20.20860654,21.99,1.088207073,960.2,1044.9,29.70412,0.031,2.948,9.833,0.07349,3.336
GW65N25,49.43,5.061297027,20.20860654,25.13,1.243665227,960.2,1194.1,27.78566,0.029,2.769,9.347,0.06765,3.376
GW65N25,50.01,5.09851369,20.3572042,28.27,1.388910462,967.2,1343.4,26.3892,0.027,2.606,8.819,0.0642,3.384
GW65N25,50.38,5.122151285,20.45158373,31.42,1.536112164,971.7,1492.7,25.15106,0.026,2.54,8.424,0.06077,3.316
GW65N25,50.4,5.123426683,20.45667611,34.56,1.689302749,971.9,1641.9,23.98656,0.025,2.336,7.965,0.05844,3.409
